Countries,Primary Completion Rate,Middle School Completion Rate,High School Completion Rate
Afghanistan,54,37,23
Albania,92,96,50
Algeria,94,64,38
Angola,51,36,17
Armenia,100,97,93
Bangladesh,74,54,28
Barbados,99,98,94
Belarus,100,100,97
Belize,82,44,22
Benin,48,19,8
Bhutan,69,39,21
Bosnia and Herzegovina,100,97,92
Burkina Faso,31,9,4
Burundi,50,22,4
Cambodia,73,40,20
Cameroon,65,43,16
Central African Republic,43,11,7
Chad,27,14,10
China,97,93,66
Colombia,93,78,74
Comoros,76,46,28
Congo,80,50,23
Costa Rica,94,63,47
C̫te d'Ivoire,56,28,16
Cuba,100,98,83
Democratic People's Republic of Korea,100,100,100
Democratic Republic of the Congo,69,54,25
Dominican Republic,91,83,57
Egypt,91,80,70
El Salvador,86,73,35
Ethiopia,51,39,13
Gabon,62,25,11
Gambia,57,48,30
Ghana,66,50,38
Guatemala,80,49,26
Guinea,54,33,21
Guinea-Bissau,30,17,9
Guyana,97,84,56
Haiti,54,35,17
Honduras,83,48,30
India,91,81,43
Indonesia,91,62,38
Iraq,76,46,44
Jamaica,99,97,82
Jordan,96,87,56
Kazakhstan,100,100,95
Kenya,79,65,41
Kyrgyzstan,99,96,83
Lao People's Democratic Republic,87,56,32
Lesotho,71,38,24
Liberia,34,26,13
Malawi,47,22,14
Mali,45,30,17
Mauritania,60,37,15
Mexico,96,88,23
Mongolia,97,90,71
Montenegro,100,99,86
Mozambique,40,12,6
Myanmar,81,45,16
Namibia,81,56,36
Nepal,78,66,44
Niger,29,6,2
Nigeria,80,75,64
Pakistan,60,50,41
Panama,95,78,63
Peru,95,83,75
Philippines,92,81,60
Republic of Moldova,99,97,69
Rwanda,54,28,17
Saint Lucia,99,91,80
Sao Tome and Principe,83,34,12
Senegal,49,26,12
Serbia,99,99,76
Sierra Leone,64,44,22
South Africa,96,88,48
South Sudan,24,16,8
State of Palestine,99,86,62
Sudan,72,44,31
Suriname,79,46,18
Swaziland,60,42,32
Tajikistan,98,94,70
Thailand,98,82,56
The former Yugoslav Republic of Macedonia,100,98,74
Timor-Leste,81,66,52
Togo,63,25,15
Tunisia,93,74,49
Turkey,99,92,53
Turkmenistan,100,92,81
Uganda,34,22,15
Ukraine,100,100,97
United Republic of Tanzania,80,29,29
Uruguay,94,60,35
Viet Nam,97,84,56
Yemen,63,46,30
Zambia,74,51,28
Zimbabwe,88,70,13